Content,EventTemplate
mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads,mod_python: Creating {number} session mutexes based on {number} max processes and {number} max threads
"env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)","env.createBean2(): Factory error creating {module} ({module}, {module})"
LDAP: Built with OpenLDAP LDAP SDK,LDAP: Built with OpenLDAP LDAP SDK
Apache/2.0.49 (Fedora) configured -- resuming normal operations,Apache/{apache_version} configured -- resuming normal operations
[client 210.91.137.35] request failed: URI too long (longer than 8190),[client {ip}] request failed: URI too long (longer than {number})
"env.createBean2(): Factory error creating vm: ( vm, )","env.createBean2(): Factory error creating {module} ({module}, {module})"
suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),suEXEC mechanism enabled (wrapper: {file_path})
mod_jk child init 1 -2,mod_jk child init {number} {number}
config.update(): Can't create channel.jni:jni,config.update(): Can't create {module}
jk2_init() Found child 2330 in scoreboard slot 0,jk2_init() Found child {number} in scoreboard slot {number}
workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok {file_path}
[client 204.100.200.22] Directory index forbidden by rule: /var/www/html/,[client {ip}] Directory index forbidden by rule: {file_path}
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client {ip}] File does not exist: {file_path}
"Graceful restart requested, doing restart","Graceful restart requested, doing restart"
LDAP: SSL support unavailable,LDAP: SSL support unavailable
Digest: generating secret for digest authentication,Digest: generating secret for digest authentication
[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,[client {ip}] script not found or unable to stat: {file_path}
mod_jk2 Shutting down,mod_jk2 Shutting down
mod_jk child workerEnv in error state 1,mod_jk child workerEnv in error state {number}
[client 218.144.240.75] attempt to invoke directory as script: /var/www/cgi-bin/,[client {ip}] attempt to invoke directory as script: {file_path}
"child process 18801 still did not exit, sending a SIGTERM","child process {number} still did not exit, sending a SIGTERM"
config.update(): Can't create vm:,config.update(): Can't create {module}
mod_security/1.9dev2 configured,mod_security/{security_version} configured
mod_jk child init 1 0,mod_jk child init {number} {number}
jk2_init() Can't find child 4057 in scoreboard,jk2_init() Can't find child {number} in scoreboard
[client 218.65.235.56] request failed: error reading the headers,[client {ip}] request failed: error reading the headers
