Content,EventTemplate
"Cannot assign container Container: [ContainerId: container_1445062781478_0018_01_000013, NodeId: MININT-75DGDAM1.fareast.corp.microsoft.com:51951, NodeHttpAddress: MININT-75DGDAM1.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 10.86.165.66:51951 }, ] for a map as either container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true","Cannot assign container Container: [ContainerId: {container_id}, NodeId: {node_id}, NodeHttpAddress: {http_address}, Resource: {memory_info}, Priority: {number}, Token: {token_info}, ] for a map as either container memory less than required {memory_info} or no pending map tasks - maps.isEmpty={bool}"
Task: attempt_1445144423722_0020_m_000002_0 - exited : java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: <url id="cueu6l4tr22gd9e6rsd0" type="url" status="failed" title="" wc="0">http://wiki.apache.org/hadoop/NoRouteToHost,Task:</url>  {task_id} - exited : java.net.NoRouteToHostException: No Route to Host from {ip_address} to {ip_address} failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: {website_url}
"Could not obtain BP-1347369012-10.190.173.170-1444972147527:blk_1073741828_1004 from any node: java.io.IOException: No live nodes contain block BP-1347369012-10.190.173.170-1444972147527:blk_1073741828_1004 after checking nodes = [172.22.149.145:50010, 10.190.173.170:50010], ignoredNodes = null No live nodes contain current block Block locations: 172.22.149.145:50010 10.190.173.170:50010 Dead nodes: 10.190.173.170:50010 172.22.149.145:50010. Will get new block locations from namenode and retry","Could not obtain {block_name} from any node: {exception} No live nodes contain block {block_name} after checking nodes = {ip_list}, ignoredNodes = {node_info} No live nodes contain current block Block locations: {ip_list} Dead nodes: {ip_list}. Will get new block locations from namenode and retry"
"completedMapPercent 0.53846157 totalResourceLimit:<memory:16384, vCores:-4> finalMapResourceLimit:<memory:8192, vCores:-2> finalReduceResourceLimit:<memory:8192, vCores:-2> netScheduledMapResource:<memory:12288, vCores:12> netScheduledReduceResource:<memory:0, vCores:0>","completedMapPercent {number} totalResourceLimit:<memory:{number}, vCores:{number} finalMapResourceLimit:<memory:{number}, vCores:{number} finalReduceResourceLimit:<memory:{number}, vCores:{number} netScheduledMapResource:<memory:{number}, vCores:{number} netScheduledReduceResource:<memory:{number}, vCores:{number}"
Before Scheduling: PendingReds:1 ScheduledMaps:13 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0,Before Scheduling: PendingReds:{number} ScheduledMaps:{number} ScheduledReds:{number} AssignedMaps:{number} AssignedReds:{number} CompletedMaps:{number} CompletedReds:{number} ContAlloc:{number} ContRel:{number} HostLocal:{number} RackLocal:{number}
Socket Reader #1 for port 32070: readAndProcess from client 10.86.164.9 threw exception [java.io.IOException: An existing connection was forcibly closed by the remote host],Socket Reader {index} for port {number} readAndProcess from client {ip} threw exception [java.io.IOException: An existing connection was forcibly closed by the remote host]
"Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]","Slow ReadProcessor read fields took {time} (threshold={time}); ack: seqno: {number} status: {status_info} status: {status_info} downstreamAckTimeNanos: {number}, targets: [{ip}, {ip}]"
Not uberizing job_1445087491445_0005 because: not enabled; too many maps; too much input;,Not uberizing {job_id} because: not enabled; too many maps; too much input;
TaskAttempt: [attempt_1445087491445_0005_m_000009_0] using containerId: [container_1445087491445_0005_01_000009 on NM: [04DN8IQ.fareast.corp.microsoft.com:55452],TaskAttempt: [{task_id}] using containerId: [{container_id} on NM: [{node_id}]
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 5 cluster_timestamp: 1445087491445 } attemptId: 1 } keyId: -1547346236)","Kind: {kind_info}, Service: {service_info}, Ident: ({ident_info})"
"Retrying connect to server: minint-75dgdam1.fareast.corp.microsoft.com/10.86.165.66:53419. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: {server_ip}. Already tried {number} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={number}, sleepTime={number} MILLISECONDS)"
(RESET) equator 44657541 kv 11164380(44657520) kvi 8542952(34171808),(RESET) equator {number} kv {number}({number}) kvi {number}({number})
attempt_1445087491445_0005_r_000000_0 Thread started: EventFetcher for fetching Map Completion Events,{task_id} Thread started: EventFetcher for fetching Map Completion Events
DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445087491445_0005_m_000011,DefaultSpeculator.addSpeculativeAttempt -- we are speculating {task_id}
Communication exception: java.net.ConnectException: Call From MSRA-SA-39/172.22.149.145 to minint-fnanli5.fareast.corp.microsoft.com:49594 failed on connection exception: java.net.ConnectException: Connection timed out: no further information; For more details see: <url id="cueu6l4tr22gd9e6rse0" type="url" status="failed" title="" wc="0">http://wiki.apache.org/hadoop/ConnectionRefused,Communication</url>  exception: java.net.ConnectException: Call From {ip_address} to {ip_address} failed on connection exception: java.net.ConnectException: Connection timed out: no further information; For more details see: {website_url}
"Down to the last merge-pass, with 7 segments left of total size: 228411640 bytes","Down to the last merge-pass, with {number} segments left of total size: {number} bytes"
