Content,EventTemplate
en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161 165,{module}: Supported channels {number_list}
"2017-07-01 19:43:30.786, 30311, 3512df40, [LogMessageLogging]: [aid-types_12000] - Request to send LogMessages of count (6) failed with Error: Error Domain NSURLErrorDomain Code -1009 ""The Internet connection appears to be offline."" UserInfo {NSUnderlyingError 0x7fe13361cae0 {Error Domain kCFErrorDomainCFNetwork Code -1009 ""The Internet connection appears to be offline."" UserInfo {NSErrorFailingURLStringKey https://gsp64-ssl.ls.apple.com/a/v2/use, NSErrorFailingURLKey https://gsp64-ssl.ls.apple.com/a/v2/use, _kCFStreamErrorCodeKey 8, _kCFStreamErrorDomainKey 12, NSLocalizedDescription The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey https://gsp64-ssl.ls.apple.com/a/v2/use, NSErrorFailingURLKey https://gsp64-ssl.ls.apple.com/a/v2/use, _kCFStreamErrorDomainKey 12, _kCFStreamErrorCodeKey 8, NSLocalizedDescription The Internet connection appears to be offline.}","{date} {time}, {number}, {number}, [LogMessageLogging]: [{aids_info}] - Request to send LogMessages of count ({number}) failed with Error: Error Domain {domain_name} Code {number} {error_description} UserInfo {NSUnderlyingError {hex_code} {Error Domain {domain_name} Code {number} {error_description} UserInfo {NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorCodeKey {number}, _kCFStreamErrorDomainKey {number}, NSLocalizedDescription {error_description}}}, NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorDomainKey {number}, _kCFStreamErrorCodeKey {number}, NSLocalizedDescription {error_description}}"
2017-07-01 11:05:06.610 GoogleSoftwareUpdateAgent[31394/0x7fff79824000] [lvl 2] -[KSAgentApp setupLoggerOutput] Agent settings: <KSAgentSettings:0x100723ab0 bundleID com.google.Keystone.Agent lastCheck 2017-07-01 15:38:01 +0000 checkInterval 18000.000000 uiDisplayInterval 604800.000000 sleepInterval 1800.000000 jitterInterval 900 maxRunInterval 0.000000 isConsoleUser 1 ticketStorePath /Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore runMode 3 daemonUpdateEngineBrokerServiceName com.google.Keystone.Daemon.UpdateEngine daemonAdministrationServiceName com.google.Keystone.Daemon.Administration logEverything 0 logBufferSize 2048 alwaysPromptForUpdates 0 productIDToUpdate (null) lastUIDisplayed (null) alwaysShowStatusItem 0 updateCheckTag (null) printResults NO userInitiated NO>,{date} {time} GoogleSoftwareUpdateAgent[{version}] [lvl {number}] -[KSAgentApp setupLoggerOutput] Agent settings: <KSAgentSettings:{hex_code} bundleID {pakage} lastCheck {date} {time} {number} checkInterval {number} uiDisplayInterval {number} sleepInterval {number} jitterInterval {number} maxRunInterval {number} isConsoleUser {number} ticketStorePath {file_path} runMode {number} daemonUpdateEngineBrokerServiceName {pakage} daemonAdministrationServiceName {pakage} logEverything {number} logBufferSize {number} alwaysPromptForUpdates {number} productIDToUpdate ({status}) lastUIDisplayed ({status}) alwaysShowStatusItem {number} updateCheckTag ({status}) printResults {bool} userInitiated {bool}
"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://xpcben%40gmail.com@www.googleapis.com/carddav/v1/principals/xpcben%40gmail.com/] Error Domain NSURLErrorDomain Code -1005 ""The network connection was lost."" UserInfo {NSUnderlyingError 0x7f9fb4903390 {Error Domain kCFErrorDomainCFNetwork Code -1005 ""The network connection was lost."" UserInfo {NSErrorFailingURLStringKey https://xpcben%40gmail.com@www.googleapis.com/carddav/v1/principals/xpcben%40gmail.com/, NSErrorFailingURLKey https://xpcben%40gmail.com@www.googleapis.com/carddav/v1/principals/xpcben%40gmail.com/, _kCFStreamErrorCodeKey -4, _kCFStreamErrorDomainKey 4, NSLocalizedDescription The network connection was lost.}}, NSErrorFailingURLStringKey https://xpcben%40gmail.com@www.googleapis.com/carddav/v1/principals/xpcben%40gmail.com/, NSErrorFailingURLKey https://xpcben%40gmail.com@www.googleapis.com/carddav/v1/principals/xpcben%40gmail.com/, _kCFStreamErrorDomainKey 4, _kCFStreamErrorCodeKey -4, NSLocalizedDescription The network connection was lost.}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:{website_url}] Error Domain {domain_name} Code {number} {error_description} UserInfo {NSUnderlyingError {hex_code} {Error Domain {domain_name} Code {number} {error_description} UserInfo {NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorCodeKey {number}, _kCFStreamErrorDomainKey {number}, NSLocalizedDescription {error_description}}}, NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorDomainKey {number}, _kCFStreamErrorCodeKey {number}, NSLocalizedDescription {error_description}}"
"PBRequester failed with Error Error Domain NSURLErrorDomain Code -1003 ""A server with the specified hostname could not be found."" UserInfo {NSUnderlyingError 0x7fb7ed33a3f0 {Error Domain kCFErrorDomainCFNetwork Code -1003 ""A server with the specified hostname could not be found."" UserInfo {NSErrorFailingURLStringKey https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorCodeKey 8, _kCFStreamErrorDomainKey 12, NSLocalizedDescription A server with the specified hostname could not be found.}}, NSErrorFailingURLStringKey https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorDomainKey 12, _kCFStreamErrorCodeKey 8, NSLocalizedDescription A server with the specified hostname could not be found.}","PBRequester failed with Error Error Domain {domain_name} Code {number} {error_description}"" {pb_info} {Error Domain {domain_name} Code {number} {error_description}"" {pb_info} {pb_info} _kCFStreamErrorCodeKey {number}, _kCFStreamErrorDomainKey {number}, NSLocalizedDescription {error_description}}}, {pb_info} {pb_info} _kCFStreamErrorDomainKey {number}, _kCFStreamErrorCodeKey {number}, NSLocalizedDescription {error_description}}"
"hibernate_machine_init pagesDone 431656 sum2 907b26f0, time: 184 ms, disk(0x20000) 851 Mb/s, comp bytes: 47337472 time: 32 ms 1377 Mb/s, crypt bytes: 158556160 time: 38 ms 3939 Mb/s","hibernate_machine_init pagesDone {number} sum2 {number}, time: {number} ms, disk({hex_code}) {number} Mb/s, comp bytes: {number} time: {number} ms {number} Mb/s, crypt bytes: {number} time: {number} ms {number} Mb/s"
"2017-07-02 14:03:09.378, 30311, 33443f20, [NetworkDefaults]: Error updating network defaults: Error Domain NSURLErrorDomain Code -1001 ""The request timed out."" UserInfo {NSUnderlyingError 0x7fe13356d730 {Error Domain kCFErrorDomainCFNetwork Code -1001 ""(null)"" UserInfo {_kCFStreamErrorCodeKey -2102, _kCFStreamErrorDomainKey 4}}, NSErrorFailingURLStringKey https://configuration.apple.com/configurations/pep/config/geo/networkDefaults-osx-10.11.plist, NSErrorFailingURLKey https://configuration.apple.com/configurations/pep/config/geo/networkDefaults-osx-10.11.plist, _kCFStreamErrorDomainKey 4, _kCFStreamErrorCodeKey -2102, NSLocalizedDescription The request timed out.}","{date} {time}, {number}, {number}, [NetworkDefaults]: Error updating network defaults: Error Domain {domain_name} Code {number} {error_description}"" UserInfo {NSUnderlyingError {hex_code} {Error Domain {domain_name} Code {number} ""({error_description})"" UserInfo {_kCFStreamErrorCodeKey {number}, _kCFStreamErrorDomainKey {number}}}, NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorDomainKey {number}, _kCFStreamErrorCodeKey {number}, NSLocalizedDescription {error_description}}"
"Application App:""loginwindow"" asn:0x0-1001 pid:94 refs 8 @ 0x7fac18f024b0 tried to be brought forward, but isn't in fPermittedFrontApps ((""LSApplication:0x0-0x1b37b36 pid 32360 ""ScreenSaverEngine"""")), so denying. : LASSession.cp #1531 SetFrontApplication() q LSSession 100007/0x186a7 queue","Application App:{app_name} asn:{hex_code} pid:{number} refs {number} @ {hex_code} tried to be brought forward, but isn't in fPermittedFrontApps ((""{app_info}"")), so denying. : LASSession.cp {number} SetFrontApplication() q LSSession {hex_code} queue"
2017-07-01 19:46:26.223 ksfetch[31703/0x7fff79824000] [lvl 2] main() ksfetch fetching URL (<NSMutableURLRequest: 0x100700070> { URL: https://tools.google.com/service/update2?cup2hreq 7ed1399595b56e324615361837224a93db626bdd31f06e242c428da89571db92&cup2key 7:3617493766 }) to folder:/tmp/KSOutOfProcessFetcher.57Yna6TQu8/download,{date} {time} ksfetch[{version}] [lvl {number}] main() ksfetch fetching URL (<NSMutableURLRequest: {hex_code} { URL: {website_url} }) to folder:{file_path}
"2017-07-01 19:46:26.498 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl 2] +[KSCodeSigningVerification verifyBundle:applicationId:error:] KSCodeSigningVerification verifying code signing for '/Applications/Google Chrome.app' with the requirement 'anchor apple generic and certificate 1[field.1.2.840.113635.100.6.2.6] exists and certificate leaf[field.1.2.840.113635.100.6.1.13] exists and certificate leaf[subject.OU] ""EQHXZ8M8AV"" and (identifier ""com.google.Chrome"")'",{date} {time} GoogleSoftwareUpdateAgent[{version}] [lvl {number}] +[KSCodeSigningVerification verifyBundle:applicationId:error:] KSCodeSigningVerification verifying code signing for {file_path} with the requirement 'anchor apple generic and certificate {field} exists and certificate leaf[field.{field}] exists and certificate leaf[subject.OU] {certificate_code} and (identifier {pakage_name})'
