Content,EventTemplate
"Prepared Local resources Map(spark.jar -> resource { scheme: ""hdfs"" host: ""10.10.34.11"" port: 9000 file: ""/user/curi/.sparkStaging/application_1485248649253_0020/spark-assembly-1.6.0-hadoop2.2.0.jar"" } size: 109525492 timestamp: 1489498812773 type: FILE visibility: PRIVATE, pyspark.zip -> resource { scheme: ""hdfs"" host: ""10.10.34.11"" port: 9000 file: ""/user/curi/.sparkStaging/application_1485248649253_0020/pyspark.zip"" } size: 355358 timestamp: 1489498812856 type: FILE visibility: PRIVATE, py4j-0.9-src.zip -> resource { scheme: ""hdfs"" host: ""10.10.34.11"" port: 9000 file: ""/user/curi/.sparkStaging/application_1485248649253_0020/py4j-0.9-src.zip"" } size: 44846 timestamp: 1489498812874 type: FILE visibility: PRIVATE)","Prepared Local resources Map(spark.jar -> resource { scheme: {scheme} host: {ip} port: {number} file: {file_path} } size: {number} timestamp: {number} type: {type} visibility: {visibility}, pyspark.zip -> resource { scheme: {scheme} host: {ip} port: {number} file: {file_path} } size: {number} timestamp: {number} type: {type} visibility: {visibility}, py4j-{number}-src.zip -> resource { scheme: {scheme} host: {ip} port: {number} file: {file_path} } size: {number} timestamp: {number} type: {type} visibility: {visibility})"
"Lost task 0.1 in stage 4.0 (TID 12, mesos-slave-08): ExecutorLostFailure (executor 1 exited caused by one of the running tasks) Reason: Container marked as failed: container_1485248649253_0076_02_000002 on host: mesos-slave-08. Exit status: 143. Diagnostics: Container killed on request. Exit code is 143","Lost task {number} in stage {number} (TID {number}, {mesos_slave_id}): ExecutorLostFailure (executor {number} exited caused by one of the running tasks) Reason: Container marked as failed: {container_id} on host: {mesos_slave_id}. Exit status: {number}. Diagnostics: {diagnostics}. Exit code is {number}"
"SparkListenerBus has already stopped! Dropping event SparkListenerBlockUpdated(BlockUpdatedInfo(BlockManagerId(21, mesos-slave-13, 57719),broadcast_5_piece323,StorageLevel(false, true, false, false, 1),4194304,0,0))",SparkListenerBus has already stopped! Dropping event {event_info}
Unregistering ApplicationMaster with FAILED (diag message: Uncaught exception: org.apache.spark.rpc.RpcTimeoutException: Cannot receive any reply in 120 seconds. This timeout is controlled by spark.rpc.askTimeout),Unregistering ApplicationMaster with {error_info}
Container killed by YARN for exceeding memory limits. 54.7 GB of 46.2 GB virtual memory used. Consider boosting spark.yarn.executor.memoryOverhead,Container killed by YARN for exceeding memory limits. {memory_size} of {memory_size} virtual memory used. Consider boosting {function}
Marking ResultStage 5 (collect at pnmf4.py:377) as failed due to a fetch failure from ShuffleMapStage 4 (reduceByKey at pnmf4.py:371),Marking ResultStage {number} (collect at {code_pos}) as failed due to a fetch failure from ShuffleMapStage {number} ({event} at {code_pos})
"Registering block manager mesos-master-1:48869 with 14.2 GB RAM, BlockManagerId(6, mesos-master-1, 48869)","Registering block manager {mesos_master_id} with {memory_size} RAM, BlockManagerId({number}, {mesos_master_id}, {number})"
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({process}, {process}); users with modify permissions: Set({process}, {process})"
"Block broadcast_1_piece0 stored as bytes in memory (estimated size 3.7 KB, free 3.7 KB)","Block {block_name} stored as bytes in memory (estimated size {memory_size}, free {memory_size})"
"Final app status: FAILED, exitCode: 11, (reason: Max number of executor failures (4) reached)","Final app status: {status}, exitCode: {number}, (reason: {reason})"
