Content,EventTemplate
Warning: we failed to resolve data source name an14 an15 an16 an17 an18 an19 an20 an21 an22 an23 an24 an25 an26 an27 an28 an29 an30 an31 an32 an33 an34 an35 an36 an37 an38 an39 an40 an41 an42 an43 an44 an45 an46 an47 an48 an49 an50 an51 an52 an53 an54 an55 an56 an57 an58 an59 an60 an61 an62 an63 an64 an65 an66 an67 an68 an69 an70 an71 an72 an73 an74 an75 an76 an77 an78 an79 an80 an81 an82 an83 an84 an85 an86 an87 an88 an89 an90 an91 an92 an93 an94 an95 an96 an97 an98 an99 an100 an101 an102 an103 an104 an105 an106 an107 an108 an109 an110 an111 an112 an113 an114 an115 an116 an117 an118 an119 an120 an121 an122 an123 an124 an125 an126 an127 an128,Warning: we failed to resolve data source name {source_list}
"[ib_sm_discovery.c:422]: Failed to GetPortInfo() - hop_count: 5, direct_path: 0, 1, 15, 16, 13, 12, 0, 0, 0, 0","[{code_pos}]: Failed to GetPortInfo() - hop_count: {number}, direct_path: {number_list}"
"Instrumentation Service EventID: 1354 Power supply detected a failure Sensor location: PS 1 Status Chassis location: Main System Chassis Previous state was: Unknown Power Supply type: AC Power Supply state: Presence detected, Failure detected, AC lost",Instrumentation Service EventID: {number} Power supply detected a failure Sensor location: {location_name} Status Chassis location: {location_name} Previous state was: {status} Power Supply type: {type} Power Supply state: {state}
"pan_ips: error -- real init, 0x5 (Out of memory), err_loc=3, rhel_4_amd64/release/build/panfs/ips/pan_ips.c:143 <11>Nov 9 16:30:28 mount.panfs: bindcache: failed init IPS: 0x5 (Out of memory)","pan_ips: error -- real init, {hex_code} (Out of memory), err_loc={number}, {error_info}"
"mount.panfs warning: This mount still may succeed, but one or more local interfaces (listed below) failed communicate with the Panasas realm during mount. This suggests that a route cannot be established between these local interface(s) and the system. A client sends a list of IP addresses on which the Panasas storage system may establish a connection. If any one of these addresses should be excluded from the mount time check, use the 'callback-network-disallow' or 'callback-address-disallow' mount options. See 'man 8 mount.panfs' for more details on PanFS mount options. Excluding the interface from the check at mount time #15# avoid long running mount commands","mount.panfs warning: This mount still may succeed, but one or more local interfaces (listed below) failed communicate with the Panasas realm during mount. This suggests that a route cannot be established between these local interface(s) and the system. A client sends a list of IP addresses on which the Panasas storage system may establish a connection. If any one of these addresses should be excluded from the mount time check, use the 'callback-network-disallow' or 'callback-address-disallow' mount options. See 'man {number} mount.panfs' for more details on PanFS mount options. Excluding the interface from the check at mount time {number} avoid long running mount commands"
Node 0 DMA: 04kB 18kB 016kB 032kB 164kB 4128kB 1256kB 1512kB 01024kB 12048kB 2*4096kB = 11592kB,Node {number} DMA: {memory_size} = {total_memory}
"Package Release ID=R106628 Package Description=Dell BMC Firmware, v.1.40, A05 Support Log path=/var/log/#26#/updatepackage/log/support/R106628.log Exit code = 2 (Reboot required)",Package Release ID={package_id} Package Description={description} Support Log path={log_path} Exit code = {exit_code} (Reboot required)
Linux version 2.6.9-15.EL.rootsmp (#7#@#9#) (gcc version 3.4.3 20050227 (Red Hat 3.4.3-22.1)) #1 SMP Tue Aug 16 12:32:24 MDT 2005,Linux version {version} ({build_info}) (gcc version {gcc_version}) {build_number} SMP {date_time}
"couldn't ping address #27#:3095 using 10.100.128.53:1, 0x23a1 (pan_sock: timeout)","couldn't ping address {ip} using {ip}, {hex_code} (pan_sock: timeout)"
"CPU: Trace cache: 12K uops, L1 D cache: 16K","CPU: Trace cache: {number} uops, L1 D cache: {number}"
ACPI: PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12) *15,ACPI: PCI Interrupt Link [LNKA] (IRQs {irq_list}) {number}
"Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled","Serial: {number} driver $Revision: {number} $ {number} ports, IRQ sharing enabled"
"Mellanox Tavor Device Driver is creating device ""InfiniHost0"" (domain=00, bus=08, devfn=00)","Mellanox Tavor Device Driver is creating device {device_name} (domain={domain}, bus={bus}, devfn={devfn})"
[ib_sm_sweep.c:254]: An existing IB node GUID 0005AD000003947D LID 738 was removed,[{code_pos}]: An existing IB node GUID {guid} LID {number} was removed
Vendor: MegaRAID Model: LD 0 RAID0 69G Rev: 521S,Vendor: {vendor} Model: {model} Rev: {rev}
SCSI device sda: 143114240 512-byte hdwr sectors (73274 MB),SCSI device {device}: {number} {number}-byte hdwr sectors ({number} MB)
Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0,Instrumentation Service EventID: {number} Temperature sensor detected a warning value Sensor location: {location_name} Chassis location: {location_name} Previous state was: {status} (Normal) Temperature sensor value (in Degrees Celsius): {number}
Setting up Logical Volume Management: succeeded,Setting up Logical Volume Management: {status}
mount.panfs warning: mount still trying to ping realm. Mount has been trying to ping for 2 seconds and may try for another 8 seconds,mount.panfs warning: mount still trying to ping realm. Mount has been trying to ping for {number} seconds and may try for another {number} seconds
BIOS-e820: 00000000bffc0000 - 00000000bffcfc00 (ACPI data),BIOS-{bios_type}: {start_address} - {end_address} (ACPI data)
#47# : TTY=pts/1 ; PWD=/home/#47# ; USER=root ; COMMAND=/usr/bin/ssh an1 df,{number} : TTY={tty} ; PWD={pwd} ; USER={user} ; COMMAND={command}
ACPI: DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,ACPI: {dsdt_name} ({dsdt_info}) @ {address}
"BIOS update verification was successful. Version expected: A04, Version found: A04","BIOS update verification was successful. Version expected: {version}, Version found: {version}"
"EXT3-fs error (device sda3): ext3_get_inode_loc: unable to read inode block - inode=490769, block=983108","EXT3-fs error (device {device}): {error_function}: unable to read inode block - inode={inode}, block={block}"
ACPI: INT_SRC_OVR (bus 0 bus_irq 0 global_irq 2 dfl dfl),ACPI: INT_SRC_OVR (bus {bus} bus_irq {bus_irq} global_irq {global_irq} dfl dfl)
"[ib_sm_bringup.c:531]: Force port (node=5ad0000027275, port=10, state=4) to DOWN because (1) 1st sweep or (2) role change","[{code_pos}]: Force port (node={node}, port={port}, state={state}) to DOWN because {reason}"
"Lustre: OBD class driver Build Version: #12#-19691231170000-PRISTINE-.f3home.#13#.build.2.6.buildir.BUILD.lustre-kernel-2.6.9.lustre.linux-2.6.9-1.4.5.6smp, #10#@#11#","Lustre: OBD class driver Build Version: {build_version}, {build_info}"
"auths-pam: PAM subprocess returned packet SSH_PAM_OP_ERROR. (err_num: 7, err_msg: Authentication failure)","auths-pam: PAM subprocess returned packet SSH_PAM_OP_ERROR. (err_num: {number}, err_msg: {error_message})"
"- User ID: Red Hat, Inc. (Kernel Module GPG key)","{user_id}, Inc. (Kernel Module GPG key)"
Copyright (c) 1999-2004 Intel Corporation,Copyright (c) {start_year}-{end_year} Intel Corporation
e1000: eth0: e1000_probe: Intel(R) PRO/1000 Network Connection,<driver>: {interface}: {function}: {vendor} {model} Network Connection
THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[781]: XHH_hob_register_mr: Device in FATAL state,THH({number}): {file_path}[{line_number}]: XHH_hob_register_mr: Device in FATAL state
